event_id,time,angle,pol_x,pol_y,pol_z,energy
0,0.837295,0.052609,0.998616,0.000000,0.052585,50.000000
1,1.637628,0.102895,0.994711,0.000000,0.102714,50.000000
2,3.185648,0.200160,0.980035,0.000000,0.198826,50.000000
3,7.727112,0.485509,0.884438,0.000000,0.466658,50.000000
4,9.030037,0.567374,0.843315,0.000000,0.537419,50.000000
5,15.105845,0.949128,0.582392,0.000000,0.812908,50.000000
6,18.200946,1.143599,0.414322,0.000000,0.910131,50.000000
7,18.841256,1.183831,0.377380,0.000000,0.926059,50.000000
8,19.452462,1.222234,0.341547,0.000000,0.939865,50.000000
9,20.143375,1.265646,0.300437,0.000000,0.953802,50.000000
10,20.358227,1.279145,0.287534,0.000000,0.957770,50.000000
11,20.594146,1.293968,0.273306,0.000000,0.961927,50.000000
12,23.251734,1.460950,0.109626,0.000000,0.993973,50.000000
13,23.725272,1.490703,0.080008,0.000000,0.996794,50.000000
14,24.015243,1.508922,0.061835,0.000000,0.998086,50.000000
15,25.203937,1.583610,-0.012813,0.000000,0.999918,50.000000
16,26.697356,1.677444,-0.106446,0.000000,0.994318,50.000000
17,27.904487,1.753291,-0.181483,0.000000,0.983394,50.000000
18,28.999450,1.822089,-0.248656,0.000000,0.968592,50.000000
19,29.062769,1.826068,-0.252508,0.000000,0.967595,50.000000
20,30.591924,1.922147,-0.344167,0.000000,0.938909,50.000000
21,31.777710,1.996652,-0.413101,0.000000,0.910685,50.000000
22,31.891975,2.003832,-0.419628,0.000000,0.907696,50.000000
23,31.952972,2.007664,-0.423104,0.000000,0.906081,50.000000
24,31.967390,2.008570,-0.423924,0.000000,0.905698,50.000000
25,33.956727,2.133564,-0.533529,0.000000,0.845782,50.000000
26,34.154625,2.145998,-0.544004,0.000000,0.839082,50.000000
27,35.194009,2.211305,-0.597603,0.000000,0.801792,50.000000
28,36.449660,2.290200,-0.658936,0.000000,0.752199,50.000000
29,37.073055,2.329369,-0.687886,0.000000,0.725819,50.000000
30,37.185161,2.336413,-0.692981,0.000000,0.720955,50.000000
31,40.387363,2.537613,-0.823082,0.000000,0.567923,50.000000
32,40.961897,2.573712,-0.843043,0.000000,0.537847,50.000000
33,41.248822,2.591740,-0.852601,0.000000,0.522562,50.000000
34,41.787304,2.625574,-0.869790,0.000000,0.493421,50.000000
35,42.952517,2.698786,-0.903553,0.000000,0.428477,50.000000
36,43.868545,2.756342,-0.926704,0.000000,0.375791,50.000000
37,44.166680,2.775074,-0.933581,0.000000,0.358367,50.000000
38,47.054342,2.956511,-0.982921,0.000000,0.184026,50.000000
39,49.096047,3.084796,-0.998387,0.000000,0.056767,50.000000
40,50.063933,3.145610,-0.999992,0.000000,-0.004017,50.000000
41,50.204492,3.154441,-0.999917,0.000000,-0.012848,50.000000
42,54.470231,3.422466,-0.960814,0.000000,-0.277194,50.000000
43,56.436018,3.545980,-0.919344,0.000000,-0.393455,50.000000
44,57.407350,3.607010,-0.893634,0.000000,-0.448796,50.000000
45,59.676960,3.749614,-0.820780,0.000000,-0.571245,50.000000
46,59.725862,3.752687,-0.819021,0.000000,-0.573764,50.000000
47,61.479676,3.862882,-0.750955,0.000000,-0.660353,50.000000
48,62.250157,3.911293,-0.718119,0.000000,-0.695920,50.000000
49,63.500923,3.989881,-0.661268,0.000000,-0.750149,50.000000
50,65.228694,4.098440,-0.576100,0.000000,-0.817379,50.000000
51,67.492122,4.240655,-0.454431,0.000000,-0.890782,50.000000
52,67.979617,4.271285,-0.426938,0.000000,-0.904281,50.000000
53,67.989779,4.271924,-0.426360,0.000000,-0.904553,50.000000
54,68.837943,4.325216,-0.377573,0.000000,-0.925980,50.000000
55,69.048797,4.338464,-0.365272,0.000000,-0.930901,50.000000
56,69.849892,4.388798,-0.317973,0.000000,-0.948100,50.000000
57,70.011737,4.398967,-0.308316,0.000000,-0.951284,50.000000
58,71.929125,4.519440,-0.191754,0.000000,-0.981443,50.000000
59,77.181577,4.849462,0.136644,0.000000,-0.990620,50.000000
60,78.153537,4.910532,0.196849,0.000000,-0.980434,50.000000
61,79.980589,5.025329,0.307857,0.000000,-0.951433,50.000000
62,80.255711,5.042615,0.324257,0.000000,-0.945969,50.000000
63,80.645860,5.067129,0.347346,0.000000,-0.937737,50.000000
64,80.914186,5.083988,0.363106,0.000000,-0.931748,50.000000
65,81.084305,5.094677,0.373044,0.000000,-0.927813,50.000000
66,84.011512,5.278599,0.536437,0.000000,-0.843940,50.000000
67,84.643286,5.318295,0.569507,0.000000,-0.821987,50.000000
68,84.712455,5.322641,0.573074,0.000000,-0.819504,50.000000
69,85.162452,5.350915,0.596012,0.000000,-0.802975,50.000000
70,85.265865,5.357412,0.601217,0.000000,-0.799086,50.000000
71,86.229367,5.417951,0.648462,0.000000,-0.761247,50.000000
72,86.437096,5.431003,0.658342,0.000000,-0.752719,50.000000
73,86.807655,5.454286,0.675687,0.000000,-0.737188,50.000000
74,88.115736,5.536475,0.733927,0.000000,-0.679228,50.000000
75,89.940183,5.651108,0.806802,0.000000,-0.590822,50.000000
76,90.334993,5.675915,0.821209,0.000000,-0.570628,50.000000
77,90.723591,5.700331,0.834895,0.000000,-0.550409,50.000000
78,92.451714,5.808912,0.889625,0.000000,-0.456692,50.000000
79,92.787467,5.830008,0.899061,0.000000,-0.437824,50.000000
80,93.552053,5.878049,0.919049,0.000000,-0.394144,50.000000
81,93.816178,5.894644,0.925463,0.000000,-0.378839,50.000000
82,95.078125,5.973935,0.952562,0.000000,-0.304345,50.000000
83,95.493837,6.000055,0.960186,0.000000,-0.279363,50.000000
84,97.706187,6.139061,0.989632,0.000000,-0.143626,50.000000
85,97.866697,6.149146,0.991030,0.000000,-0.133638,50.000000
86,98.481884,6.187799,0.995454,0.000000,-0.095241,50.000000
87,99.824833,6.272179,0.999939,0.000000,-0.011006,50.000000
88,100.087198,6.288664,0.999985,0.000000,0.005479,50.000000
89,102.239229,6.423880,0.990119,0.000000,0.140231,50.000000
90,103.564940,6.507177,0.975019,0.000000,0.222123,50.000000
91,105.590277,6.634433,0.938944,0.000000,0.344069,50.000000
92,106.634264,6.700028,0.914372,0.000000,0.404876,50.000000
93,106.923630,6.718210,0.906860,0.000000,0.421433,50.000000
94,109.626583,6.888041,0.822584,0.000000,0.568644,50.000000
95,109.880853,6.904018,0.813395,0.000000,0.581712,50.000000
96,111.746517,7.021241,0.739778,0.000000,0.672851,50.000000
97,115.250886,7.241427,0.574960,0.000000,0.818182,50.000000
98,115.303749,7.244748,0.572239,0.000000,0.820087,50.000000
99,115.864925,7.280008,0.542973,0.000000,0.839750,50.000000
